Post;Up;Down;Total
1236;5;0;5
1238;1;0;1
1239;1;0;1
1241;1;0;1
1242;5;0;5
1244;3;0;3
1245;2;0;2
1246;2;0;2
1247;5;0;5
1248;2;0;2
1249;1;0;1
1250;10;0;10
1251;4;0;4
1252;3;0;3
1253;6;0;6
1255;1;0;1
1256;2;0;2
1257;1;0;1
1258;2;0;2
1259;1;0;1
1260;1;0;1
1261;1;0;1
1262;2;0;2
1264;1;0;1
1265;1;0;1
1266;6;0;6
1267;1;0;1
1268;1;0;1
1269;1;0;1
1270;6;0;6
1271;1;0;1
1272;1;0;1
1273;2;0;2
1274;2;0;2
1275;1;0;1
1276;1;0;1
1277;1;0;1
1278;3;1;2
1279;3;0;3
1280;2;1;1
1282;1;0;1
1283;1;0;1
1285;3;0;3
1286;1;0;1
1288;5;0;5
1290;1;0;1
1291;3;0;3
1292;2;0;2
1293;2;0;2
1294;4;0;4
1295;2;0;2
1296;1;0;1
1297;2;0;2
1298;5;1;4
1299;2;0;2
1301;3;0;3
1302;7;0;7
1303;2;0;2
1304;1;0;1
1305;4;0;4
1306;1;1;0
1307;4;0;4
1308;1;0;1
1310;1;0;1
1312;1;1;0
1313;1;0;1
1314;1;0;1
1316;1;0;1
1318;2;0;2
1319;1;0;1
1320;6;0;6
1321;4;0;4
1323;2;0;2
1324;4;0;4
1325;2;0;2
1327;3;0;3
1328;5;0;5
1329;2;0;2
1330;5;0;5
1331;5;0;5
1332;7;0;7
1333;1;0;1
1334;1;0;1
1335;4;0;4
1336;2;0;2
1338;2;0;2
1339;2;0;2
1340;1;0;1
1341;2;0;2
1342;1;0;1
1343;2;0;2
1344;2;0;2
1345;1;0;1
1346;2;0;2
1347;2;0;2
1348;1;0;1
1349;3;0;3
1351;2;0;2
1352;1;0;1
1353;3;0;3
1354;6;0;6
1355;7;0;7
1356;4;0;4
1357;4;0;4
1358;2;0;2
1359;1;0;1
1361;3;0;3
1362;1;0;1
1363;2;0;2
1364;9;0;9
1365;10;0;10
1366;4;0;4
1367;2;0;2
1368;6;0;6
1369;1;0;1
1371;1;0;1
1372;2;0;2
1373;1;0;1
1374;1;0;1
1375;4;0;4
1376;1;0;1
1377;3;0;3
1378;1;0;1
1379;9;0;9
1380;4;0;4
1382;3;0;3
1384;0;4;-4
1385;3;0;3
1386;1;3;-2
1387;4;0;4
1388;1;0;1
1389;7;0;7
1390;16;0;16
1391;2;0;2
1392;6;0;6
1393;1;0;1
1394;1;0;1
1395;4;0;4
1396;2;0;2
1397;1;0;1
1398;10;0;10
1399;1;0;1
1400;1;1;0
1401;1;0;1
1402;21;0;21
1403;42;0;42
1404;2;0;2
1405;1;0;1
1406;57;2;55
1407;5;0;5
1408;2;0;2
1409;1;0;1
1410;2;0;2
1411;4;0;4
1413;20;0;20
1414;6;0;6
1415;2;0;2
1416;2;0;2
1417;1;2;-1
1418;1;0;1
1419;5;0;5
1420;1;0;1
1421;3;0;3
1422;3;0;3
1424;1;0;1
1425;10;0;10
1427;1;0;1
1428;3;0;3
1429;3;0;3
1430;5;0;5
1431;2;0;2
1432;1;0;1
1433;7;0;7
1434;3;0;3
1435;3;0;3
1436;2;0;2
1438;2;0;2
1439;4;0;4
1440;4;0;4
1442;3;0;3
1444;2;0;2
1445;13;0;13
1446;1;0;1
1447;2;0;2
1449;2;0;2
1451;5;0;5
1452;2;0;2
1453;1;0;1
1454;2;0;2
1455;0;1;-1
1456;2;0;2
1457;2;0;2
1459;6;0;6
1461;4;0;4
1462;1;0;1
1463;11;0;11
1465;5;0;5
1466;1;0;1
1467;4;0;4
1468;3;0;3
1469;1;0;1
1470;1;0;1
1471;3;0;3
1472;17;0;17
1473;7;0;7
1474;2;0;2
1475;7;0;7
1476;1;0;1
1478;2;0;2
1479;1;0;1
1480;8;0;8
1481;1;0;1
1482;25;0;25
1483;2;0;2
1484;2;0;2
1485;1;0;1
1487;5;0;5
1488;3;0;3
1489;4;0;4
1490;1;0;1
1491;1;0;1
1492;1;0;1
1493;1;0;1
1494;2;0;2
1495;3;0;3
1497;1;0;1
1501;5;0;5
1502;1;0;1
1503;4;0;4
1504;3;0;3
1505;1;0;1
1506;6;0;6
1507;80;0;80
1508;5;0;5
1509;79;0;79
1511;1;0;1
1512;3;0;3
1514;1;0;1
1515;4;0;4
1516;5;0;5
1517;6;0;6
1518;3;0;3
1520;2;0;2
1521;3;0;3
1522;6;0;6
1523;1;1;0
1524;7;1;6
1525;0;2;-2
1527;1;0;1
1530;6;1;5
1533;1;0;1
1535;6;0;6
1536;11;0;11
1537;1;0;1
1540;3;0;3
1541;1;0;1
1542;1;0;1
1545;1;0;1
1547;1;0;1
1548;1;0;1
1549;3;0;3
1551;3;0;3
1552;11;0;11
1553;1;0;1
1555;4;0;4
1556;1;0;1
1557;5;0;5
1558;2;0;2
1559;1;2;-1
1560;5;0;5
1563;3;0;3
1564;12;0;12
1566;1;0;1
1567;238;5;233
1568;32;0;32
1569;41;1;40
1570;2;1;1
1571;0;1;-1
1572;2;1;1
1573;1;1;0
1574;13;0;13
1577;1;0;1
1578;1;0;1
1579;5;0;5
1580;4;0;4
1581;3;0;3
1582;4;0;4
1584;10;0;10
1585;55;1;54
1586;13;1;12
1588;3;0;3
1589;10;0;10
1591;1;0;1
1592;1;0;1
1593;2;0;2
1594;2;0;2
1595;7;0;7
1596;2;0;2
1597;2;0;2
1598;2;0;2
1599;0;1;-1
1600;2;0;2
1601;8;4;4
1603;17;0;17
1604;22;0;22
1605;1;0;1
1606;27;1;26
1607;7;0;7
1608;0;1;-1
1609;1;0;1
1610;61;0;61
1611;4;0;4
1612;4;0;4
1613;2;0;2
1614;74;2;72
1615;7;0;7
1617;3;0;3
1618;45;0;45
1619;4;0;4
1620;1;0;1
1621;1;0;1
1623;2;0;2
1624;1;0;1
1625;3;0;3
1626;2;0;2
1627;1;0;1
1628;1;0;1
1629;3;0;3
1630;5;0;5
1631;1;0;1
1632;27;1;26
1633;3;0;3
1635;3;0;3
1636;0;1;-1
1637;1;0;1
1638;1;0;1
1639;8;1;7
1640;5;0;5
1642;1;0;1
1643;2;0;2
1644;1;0;1
1645;1;0;1
1646;3;0;3
1647;4;0;4
1650;2;0;2
1651;3;0;3
1652;1;0;1
1653;5;0;5
1654;5;0;5
1656;2;0;2
1659;2;0;2
1660;2;0;2
1661;1;0;1
1663;2;0;2
1664;1;0;1
1665;15;0;15
1666;21;0;21
1667;5;0;5
1668;2;0;2
1670;5;0;5
1671;6;0;6
1672;39;0;39
1673;12;0;12
1674;5;0;5
1675;1;0;1
1677;2;0;2
1678;4;0;4
1679;4;0;4
1681;2;0;2
1682;1;0;1
1683;3;0;3
1684;12;0;12
1685;14;0;14
1686;28;0;28
1687;2;0;2
1688;1;0;1
1690;16;0;16
1691;2;0;2
1692;1;0;1
1694;1;0;1
1695;1;0;1
1696;3;0;3
1697;3;0;3
1699;3;0;3
1700;1;0;1
1701;1;0;1
1704;1;0;1
1705;9;0;9
1706;2;0;2
1707;2;0;2
1708;3;0;3
1709;1;0;1
1710;2;0;2
1712;4;0;4
1713;6;0;6
1714;16;0;16
1715;16;0;16
1716;1;0;1
1717;4;0;4
1719;1;0;1
1720;1;0;1
1721;25;0;25
1722;2;0;2
1723;1;0;1
1724;3;0;3
1725;6;0;6
1728;2;0;2
1729;2;0;2
1731;2;0;2
1732;5;0;5
1733;22;0;22
1734;3;1;2
1735;4;0;4
1736;8;0;8
1737;4;0;4
1738;9;0;9
1739;1;0;1
1740;6;0;6
1741;2;0;2
1743;2;0;2
1744;10;0;10
1745;3;0;3
1746;1;0;1
1747;1;0;1
1748;1;0;1
1749;1;0;1
1750;6;0;6
1751;3;0;3
1752;2;0;2
1753;216;0;216
1754;13;0;13
1755;372;0;372
1756;1;0;1
1757;1;0;1
1758;2;0;2
1760;1;0;1
1762;5;0;5
1763;1;0;1
1764;0;1;-1
1765;2;0;2
1767;2;0;2
1768;1;0;1
1769;7;0;7
1771;1;0;1
