Post;Score 
1499 ; 1161
1500 ; 108
1501 ; 1456
1502 ; 101
1503 ; 112
1504 ; 183
1506 ; 418
1507 ; 101
1509 ; 368
1511 ; 108
1512 ; 269
1513 ; 101
1515 ; 254
1516 ; 261
1517 ; 101
1518 ; 141
1519 ; 335
1520 ; 180
1521 ; 161
1522 ; 333
1523 ; 104
1525 ; 206
1526 ; 106
1527 ; 143
1528 ; 158
1529 ; 774
1530 ; 162
1531 ; 380
1532 ; 1630
1533 ; 143
1534 ; 101
1535 ; 101
1537 ; 111
1539 ; 1150
1540 ; 223
1541 ; 165
1543 ; 121
1544 ; 784
1545 ; 873
1546 ; 101
1548 ; 266
1549 ; 145
1551 ; 473
1552 ; 101
1553 ; 236
1554 ; 115
1555 ; 101
1556 ; 191
1557 ; 101
1558 ; 101
1560 ; 101
1561 ; 11271
1562 ; 1001
1563 ; 138
1564 ; 118
1565 ; 3107
1566 ; 381
1567 ; 247
1568 ; 121
1569 ; 165
1570 ; 116
1572 ; 151
1573 ; 101
1576 ; 2918
1577 ; 101
1578 ; 101
1580 ; 208
1581 ; 778
1583 ; 165
1584 ; 6233
1585 ; 662
1586 ; 121
1587 ; 140
1588 ; 101
1589 ; 2198
1591 ; 131
1592 ; 8271
1593 ; 190
1594 ; 101
1595 ; 598
1597 ; 308
1598 ; 856
1599 ; 101
1600 ; 101
1602 ; 807
1603 ; 111
1604 ; 296
1605 ; 782
1606 ; 322
1608 ; 103
1609 ; 113
1610 ; 130
1611 ; 138
1612 ; 108
1613 ; 101
1614 ; 100
1615 ; 111
1616 ; 681
1617 ; 161
1618 ; 470
1619 ; 1123
1620 ; 166
1622 ; 146
1623 ; 350
1624 ; 101
1625 ; 121
1626 ; 366
1627 ; 287
1628 ; 445
1629 ; 111
1630 ; 286
1631 ; 128
1632 ; 101
1633 ; 115
1634 ; 364
1635 ; 165
1636 ; 106
1637 ; 101
1638 ; 136
1639 ; 1407
1642 ; 316
1643 ; 167
1644 ; 101
1645 ; 893
1646 ; 123
1647 ; 259
1648 ; 101
1649 ; 389
1650 ; 351
1651 ; 108
1652 ; 101
1653 ; 375
1654 ; 553
1655 ; 720
1657 ; 101
1658 ; 101
1659 ; 101
1660 ; 415
1661 ; 1260
1662 ; 181
1664 ; 878
1665 ; 116
1666 ; 134
1667 ; 101
1668 ; 101
1669 ; 145
1670 ; 101
1671 ; 768
1672 ; 641
1673 ; 101
1674 ; 24617
1675 ; 162
1676 ; 106
1677 ; 101
1678 ; 1156
1679 ; 101
1680 ; 198
1681 ; 542
1682 ; 1203
1683 ; 190
1684 ; 501
1685 ; 101
1686 ; 505
1687 ; 1270
1688 ; 108
1690 ; 275
1691 ; 417
1692 ; 552
1693 ; 101
1694 ; 285
1695 ; 994
1696 ; 429
1697 ; 101
1700 ; 101
1702 ; 131
1703 ; 101
1704 ; 186
1705 ; 101
1706 ; 101
1708 ; 101
1709 ; 101
1710 ; 101
1712 ; 118
1713 ; 152
1714 ; 129
1715 ; 9285
1716 ; 152
1717 ; 111
1718 ; 108
1719 ; 128
1720 ; 684
1721 ; 158
1723 ; 742
1725 ; 448
1726 ; 644
1727 ; 195
1729 ; 101
1730 ; 101
